NVSCode,TaxonID,SpeciesName,Family,Genus,Species,BioStatus,PlantType,Palatibility,GrowthForm,PreferredTaxonID,PreferredCode,PreferredName,VernacularNames
(Unknown),0,(Unknown),,,,Unknown,Vascular,Unclassified,Unknown,0,(Unknown),(Unknown),
ABIES,7749,Abies species,Pinaceae,Abies,,Exotic,Vascular,Unclassified,Unknown,7749,ABIES,Abies species,Fir; 
ABIKOR,6032,Abies koreana,Pinaceae,Abies,koreana,Exotic,Vascular,Unclassified,Tree,6032,ABIKOR,Abies koreana,Korean fir; 
ABRCAE,1,Abrotanella caespitosa,Compositae,Abrotanella,caespitosa,Indigenous Endemic,Vascular,Unclassified,Forb,1,ABRCAE,Abrotanella caespitosa,
ABRELO,7612,Abrodictyum elongatum,Hymenophyllaceae,Abrodictyum,elongatum,Indigenous Endemic,Vascular,Unclassified,Fern,3077,TRIELO,Trichomanes elongatum,bristle fern; 
ABRFER,7578,Abrotanella fertilis,Compositae,Abrotanella,fertilis,Indigenous Endemic,Vascular,Unclassified,Forb,7578,ABRFER,Abrotanella fertilis,
ABRINC,2,Abrotanella inconspicua,Compositae,Abrotanella,inconspicua,Indigenous Endemic,Vascular,Unclassified,Forb,2,ABRINC,Abrotanella inconspicua,
ABRLIN,3,Abrotanella linearis,Compositae,Abrotanella,linearis,Indigenous Endemic,Vascular,Unclassified,Forb,3,ABRLIN,Abrotanella linearis,
ABRMUS,3297,Abrotanella muscosa,Compositae,Abrotanella,muscosa,Indigenous Endemic,Vascular,Unclassified,Forb,3297,ABRMUS,Abrotanella muscosa,
ABROTA,6,Abrotanella species,Compositae,Abrotanella,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,6,ABROTA,Abrotanella species,
ABRPAT,6579,Abrotanella patearoa,Compositae,Abrotanella,patearoa,Indigenous Endemic,Vascular,Unclassified,Forb,6579,ABRPAT,Abrotanella patearoa,
ABRPUS,4,Abrotanella pusilla,Compositae,Abrotanella,pusilla,Indigenous Endemic,Vascular,Unclassified,Forb,4,ABRPUS,Abrotanella pusilla,
ABRRSL,6581,Abrotanella rosulata,Compositae,Abrotanella,rosulata,Indigenous Endemic,Vascular,Unclassified,Forb,6581,ABRRSL,Abrotanella rosulata,
ABRRST,6583,Abrotanella rostrata,Compositae,Abrotanella,rostrata,Indigenous Endemic,Vascular,Unclassified,Forb,6583,ABRRST,Abrotanella rostrata,
ABRSPA,5,Abrotanella spathulata,Compositae,Abrotanella,spathulata,Indigenous Endemic,Vascular,Unclassified,Forb,5,ABRSPA,Abrotanella spathulata,
ABRSTR,7613,Abrodictyum strictum,Hymenophyllaceae,Abrodictyum,strictum,Indigenous Endemic,Vascular,Unclassified,Fern,3081,TRISTR,Trichomanes strictum,
ACAAGN,11,Acaena agnipila,Rosaceae,Acaena,agnipila,Exotic,Vascular,Unclassified,Forb,11,ACAAGN,Acaena agnipila,Australian sheep's bur; Sheep's bur; 
ACAALP,12,Acaena alpine,Rosaceae,Acaena,alpine,Unknown,Vascular,Unclassified,Forb,12,ACAALP,Acaena alpine,
ACAANS,13,Acaena anserinifolia,Rosaceae,Acaena,anserinifolia,Indigenous Endemic,Vascular,Unclassified,Forb,13,ACAANS,Acaena anserinifolia,bidibid; Huruhuru-o-hine-nui-te-pō; Hutiwai; Kaiā; Kaiārurerure; Kaikaiā; Kaikaiārure; Pirikahu; piripiri; Piriwhetau; 
ACAAVT,7551,Acaena agnipila var. tenuispica,Rosaceae,Acaena,agnipila,Exotic,Vascular,Unclassified,Forb,7551,ACAAVT,Acaena agnipila var. tenuispica,
ACAAXI,5169,Acaena anserinifolia x inermis,,,,Indigenous Endemic,Vascular,Unclassified,Forb,5169,ACAAXI,Acaena anserinifolia x inermis,
ACAAXN,5310,Acaena anserinifolia x novae-zelandiae,,,,Indigenous Unspecified,Vascular,Unclassified,Forb,5310,ACAAXN,Acaena anserinifolia x novae-zelandiae,
ACABAI,8105,Acacia baileyana,Leguminosae,Acacia,baileyana,Exotic,Vascular,Unclassified,Unknown,8105,ACABAI,Acacia baileyana,Bailey's wattle; Cootamundra wattle; Golden wattle; 
ACABRO,3932,Acaena tagname bronze,,,,Unknown,Vascular,Unclassified,Forb,3932,ACABRO,Acaena tagname bronze,
ACABUC,14,Acaena buchananii,Rosaceae,Acaena,buchananii,Indigenous Endemic,Vascular,Unclassified,Forb,14,ACABUC,Acaena buchananii,
ACACAE,15,Acaena caesiiglauca,Rosaceae,Acaena,caesiiglauca,Indigenous Endemic,Vascular,Unclassified,Forb,15,ACACAE,Acaena caesiiglauca,bidibid; Glaucus bidibid; 
ACACIA,10,Acacia species,Leguminosae,Acacia,,Exotic,Vascular,Unclassified,WoodyMixed,10,ACACIA,Acacia species,Acacia; Mimosa (Aust.); Myall; Wattle; 
ACACVP,7148,Acaena caesiiglauca var. pilosa,Rosaceae,Acaena,caesiiglauca,Indigenous Endemic,Vascular,Unclassified,Forb,15,ACACAE,Acaena caesiiglauca,
ACADEA,7,Acacia dealbata,Leguminosae,Acacia,dealbata,Exotic,Vascular,Unclassified,Tree,7,ACADEA,Acacia dealbata,Mimosa; Silver wattle; 
ACADIV,3520,Acaena tagname divisa,,,,Unknown,Vascular,Unclassified,Forb,3520,ACADIV,Acaena tagname divisa,
ACADUM,16,Acaena dumicola,Rosaceae,Acaena,dumicola,Indigenous Endemic,Vascular,Unclassified,Forb,16,ACADUM,Acaena dumicola,
ACAEMI,17,Acaena emittens,Rosaceae,Acaena,emittens,Indigenous Endemic,Vascular,Unclassified,Forb,17,ACAEMI,Acaena emittens,
ACAENA,29,Acaena species,Rosaceae,Acaena,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,29,ACAENA,Acaena species,bidibid; piripiri; 
ACAFIS,18,Acaena fissistipula,Rosaceae,Acaena,fissistipula,Indigenous Endemic,Vascular,Unclassified,Forb,18,ACAFIS,Acaena fissistipula,
ACAGLA,19,Acaena glabra,Rosaceae,Acaena,glabra,Indigenous Endemic,Vascular,Unclassified,Forb,19,ACAGLA,Acaena glabra,
ACAHIR,20,Acaena hirsutula,Rosaceae,Acaena,hirsutula,Unknown,Vascular,Unclassified,Forb,20,ACAHIR,Acaena hirsutula,
ACAINE,21,Acaena inermis,Rosaceae,Acaena,inermis,Indigenous Endemic,Vascular,Unclassified,Forb,21,ACAINE,Acaena inermis,Blue mountain bidibid; Spineless bidibid; Spineless piripiri; 
ACAJUV,22,Acaena juvenca,Rosaceae,Acaena,juvenca,Indigenous Endemic,Vascular,Unclassified,Forb,22,ACAJUV,Acaena juvenca,
ACALON,5184,Acacia longifolia,Leguminosae,Acacia,longifolia,Exotic,Vascular,Unclassified,Tree,5184,ACALON,Acacia longifolia,Sydney golden wattle; 
ACALSS,6924,Acacia longifolia subsp. sophorae,Leguminosae,Acacia,longifolia,Exotic,Vascular,Unclassified,Tree,6924,ACALSS,Acacia longifolia subsp. sophorae,
ACAMEA,3744,Acacia mearnsii,Leguminosae,Acacia,mearnsii,Exotic,Vascular,Unclassified,Tree,3744,ACAMEA,Acacia mearnsii,Black wattle; 
ACAMEL,8,Acacia melanoxylon,Leguminosae,Acacia,melanoxylon,Exotic,Vascular,Unclassified,Tree,8,ACAMEL,Acacia melanoxylon,Blackwood; Tasmanian blackwood; 
ACAMIC,23,Acaena microphylla,Rosaceae,Acaena,microphylla,Indigenous Non-Endemic,Vascular,Unclassified,Forb,23,ACAMIC,Acaena microphylla,bidibid; 
ACAMIN,6119,Acaena minor,Rosaceae,Acaena,minor,Indigenous Endemic,Vascular,Unclassified,Forb,6119,ACAMIN,Acaena minor,Antarctic piripiri; bidibid; piripiri; 
ACAMVA,6585,Acaena minor var. antarctica,Rosaceae,Acaena,minor,Indigenous Endemic,Vascular,Unclassified,Forb,6585,ACAMVA,Acaena minor var. antarctica,
ACAMVC,7719,Acaena microphylla var. microphylla,Rosaceae,Acaena,microphylla,Indigenous Non-Endemic,Vascular,Unclassified,Forb,7719,ACAMVC,Acaena microphylla var. microphylla,
ACAMVM,6584,Acaena minor var. minor,Rosaceae,Acaena,minor,Indigenous Endemic,Vascular,Unclassified,Forb,6584,ACAMVM,Acaena minor var. minor,
ACAMVP,5463,Acaena microphylla var. pauciglochidiata,Rosaceae,Acaena,microphylla,Indigenous Endemic,Vascular,Unclassified,Forb,5463,ACAMVP,Acaena microphylla var. pauciglochidiata,
ACANOV,24,Acaena novae-zelandiae,Rosaceae,Acaena,novae-zelandiae,Indigenous Non-Endemic,Vascular,Unclassified,Forb,24,ACANOV,Acaena novae-zelandiae,bidibid; Red bidibid; 
ACANTH,6528,Acanthocladium species,,Acanthocladium,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3684,WIJKIA,Wijkia species,
ACAOVI,5254,Acaena ovina,Rosaceae,Acaena,ovina,Exotic,Vascular,Unclassified,Forb,11,ACAAGN,Acaena agnipila,Sheep's bur; 
ACAPAL,7873,Acaena pallida,Rosaceae,Acaena,pallida,Indigenous Non-Endemic,Vascular,Unclassified,Unknown,7873,ACAPAL,Acaena pallida,bidibid; piripiri; Sand bidibid; Sand piripiri; 
ACAPAR,7872,Acacia paradoxa,Leguminosae,Acacia,paradoxa,Exotic,Vascular,Unclassified,Unknown,7872,ACAPAR,Acacia paradoxa,Kangaroo acacia; Kangaroo thorn; Prickly acacia; 
ACAPRO,25,Acaena profundeincisa,Rosaceae,Acaena,profundeincisa,Indigenous Endemic,Vascular,Unclassified,Forb,25,ACAPRO,Acaena profundeincisa,bidibid; 
ACAPUS,26,Acaena pusilla,Rosaceae,Acaena,pusilla,Indigenous Endemic,Vascular,Unclassified,Forb,13,ACAANS,Acaena anserinifolia,
ACAROR,6586,Acaena rorida,Rosaceae,Acaena,rorida,Indigenous Endemic,Vascular,Unclassified,Forb,6586,ACAROR,Acaena rorida,
ACASAC,27,Acaena saccaticupula,Rosaceae,Acaena,saccaticupula,Indigenous Endemic,Vascular,Unclassified,Forb,27,ACASAC,Acaena saccaticupula,
ACASER,28,Acaena sericeinitens,Rosaceae,Acaena,sericeinitens,Unknown,Vascular,Unclassified,Forb,28,ACASER,Acaena sericeinitens,
ACASOP,9,Acacia sophorae,Leguminosae,Acacia,sophorae,Exotic,Vascular,Unclassified,Tree,6924,ACALSS,Acacia longifolia subsp. sophorae,coastal wattle; 
ACASTO,3586,Acaena tagname Stocking Stream,,,,Unknown,Vascular,Unclassified,Forb,3586,ACASTO,Acaena tagname Stocking Stream,
ACATES,5392,Acaena tesca,Rosaceae,Acaena,tesca,Indigenous Endemic,Vascular,Unclassified,Forb,5392,ACATES,Acaena tesca,
ACATRF,3565,Acaena tagname trifoliolate,,,,Unknown,Vascular,Unclassified,Forb,3565,ACATRF,Acaena tagname trifoliolate,
ACATRI,3566,Acaena tagname trifoliate,,,,Unknown,Vascular,Unclassified,Forb,3566,ACATRI,Acaena tagname trifoliate,
ACAVIR,30,Acaena viridior,Rosaceae,Acaena,viridior,Indigenous Endemic,Vascular,Unclassified,Forb,13,ACAANS,Acaena anserinifolia,
ACEPLA,5104,Acer platanoides,Sapindaceae,Acer,platanoides,Exotic,Vascular,Unclassified,Tree,5104,ACEPLA,Acer platanoides,Norway maple; 
ACEPSE,31,Acer pseudoplatanus,Sapindaceae,Acer,pseudoplatanus,Exotic,Vascular,Unclassified,Tree,31,ACEPSE,Acer pseudoplatanus,Mock plane; Scottish maple; Sycamore; Sycamore maple; 
ACER,32,Acer species,Sapindaceae,Acer,,Exotic,Vascular,Unclassified,WoodyMixed,32,ACER,Acer species,
ACHDEN,3683,Achrophyllum dentatum,Daltoniaceae,Achrophyllum,dentatum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3683,ACHDEN,Achrophyllum dentatum,
ACHMIL,33,Achillea millefolium,Compositae,Achillea,millefolium,Exotic,Vascular,Unclassified,Forb,33,ACHMIL,Achillea millefolium,Common yarrow; Milfoil; Nose bleed; Sanguinary; Thousand seal; Yarrow; 
ACHPET,6348,Achnatherum petriei,Gramineae,Achnatherum,petriei,Indigenous Endemic,Vascular,Unclassified,Graminoid,6348,ACHPET,Achnatherum petriei,
ACHQUA,34,Achrophyllum quadrifarium,Daltoniaceae,Achrophyllum,quadrifarium,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,34,ACHQUA,Achrophyllum quadrifarium,
ACHROP,4042,Achrophyllum species,Daltoniaceae,Achrophyllum,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,4042,ACHROP,Achrophyllum species,
ACHVEL,6587,Achyranthes velutina,Amaranthaceae,Achyranthes,velutina,Indigenous Non-Endemic,Vascular,Unclassified,Shrub,6587,ACHVEL,Achyranthes velutina,
ACIANO,41,Aciphylla anomala,Umbelliferae,Aciphylla,anomala,Indigenous Endemic,Vascular,Unclassified,Forb,41,ACIANO,Aciphylla anomala,
ACIANT,38,Acianthus species,Orchidaceae,Acianthus,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,38,ACIANT,Acianthus species,
ACIARV,40,Acinos arvensis,Labiatae,Acinos,arvensis,Exotic,Vascular,Unclassified,Forb,40,ACIARV,Acinos arvensis,Basil thyme; Mother of thyme; Mother-of-thyme; 
ACIAUR,42,Aciphylla aurea,Umbelliferae,Aciphylla,aurea,Indigenous Endemic,Vascular,Unclassified,Forb,42,ACIAUR,Aciphylla aurea,Golden spaniard; Golden speargrass; 
ACIAXS,3944,Aciphylla aurea x similis,,,,Indigenous Endemic,Vascular,Unclassified,Forb,3944,ACIAXS,Aciphylla aurea x similis,
ACICAR,3305,Aciphylla cartilaginea,Umbelliferae,Aciphylla,cartilaginea,Indigenous Endemic,Vascular,Unclassified,Forb,3305,ACICAR,Aciphylla cartilaginea,
ACICOL,43,Aciphylla colensoi,Umbelliferae,Aciphylla,colensoi,Indigenous Endemic,Vascular,Unclassified,Forb,43,ACICOL,Aciphylla colensoi,Giant speargrass; Taramea; 
ACICON,44,Aciphylla congesta,Umbelliferae,Aciphylla,congesta,Indigenous Endemic,Vascular,Unclassified,Forb,44,ACICON,Aciphylla congesta,
ACICRE,45,Aciphylla crenulata,Umbelliferae,Aciphylla,crenulata,Indigenous Endemic,Vascular,Unclassified,Forb,45,ACICRE,Aciphylla crenulata,
ACICRO,6086,Aciphylla crosby-smithii,Umbelliferae,Aciphylla,crosby-smithii,Indigenous Endemic,Vascular,Unclassified,Forb,6086,ACICRO,Aciphylla crosby-smithii,
ACIDIE,3327,Aciphylla dieffenbachii,Umbelliferae,Aciphylla,dieffenbachii,Indigenous Endemic,Vascular,Unclassified,Forb,3327,ACIDIE,Aciphylla dieffenbachii,Dieffenbach's speargrass; 
ACIDIS,46,Aciphylla dissecta,Umbelliferae,Aciphylla,dissecta,Indigenous Endemic,Vascular,Unclassified,Forb,46,ACIDIS,Aciphylla dissecta,
ACIDIV,47,Aciphylla divisa,Umbelliferae,Aciphylla,divisa,Indigenous Endemic,Vascular,Unclassified,Forb,47,ACIDIV,Aciphylla divisa,
ACIDOB,48,Aciphylla dobsonii,Umbelliferae,Aciphylla,dobsonii,Indigenous Endemic,Vascular,Unclassified,Forb,48,ACIDOB,Aciphylla dobsonii,
ACIFER,49,Aciphylla ferox,Umbelliferae,Aciphylla,ferox,Indigenous Endemic,Vascular,Unclassified,Forb,49,ACIFER,Aciphylla ferox,Fierce speargrass; Taramea; 
ACIFVS,5421,Acianthus fornicatus var. sinclairii,Orchidaceae,Acianthus,fornicatus,Indigenous Endemic,Vascular,Unclassified,Forb,5520,ACISIN,Acianthus sinclairii,
ACIGLA,50,Aciphylla glaucescens,Umbelliferae,Aciphylla,glaucescens,Indigenous Endemic,Vascular,Unclassified,Forb,50,ACIGLA,Aciphylla glaucescens,
ACIGRA,51,Aciphylla gracilis,Umbelliferae,Aciphylla,gracilis,Indigenous Endemic,Vascular,Unclassified,Forb,5454,ACIMVG,Aciphylla montana var. gracilis,
ACIHEC,52,Aciphylla hectorii,Umbelliferae,Aciphylla,hectorii,Indigenous Endemic,Vascular,Unclassified,Forb,52,ACIHEC,Aciphylla hectorii,
ACIHOO,6179,Aciphylla hookeri,Umbelliferae,Aciphylla,hookeri,Indigenous Endemic,Vascular,Unclassified,Forb,6179,ACIHOO,Aciphylla hookeri,
ACIHOR,53,Aciphylla horrida,Umbelliferae,Aciphylla,horrida,Indigenous Endemic,Vascular,Unclassified,Forb,53,ACIHOR,Aciphylla horrida,
ACIIMB,54,Aciphylla imbricata,Umbelliferae,Aciphylla,imbricata,Unknown,Vascular,Unclassified,Forb,54,ACIIMB,Aciphylla imbricata,
ACIIND,7361,Aciphylla indurata,Umbelliferae,Aciphylla,indurata,Indigenous Endemic,Vascular,Unclassified,Forb,7361,ACIIND,Aciphylla indurata,
ACIINE,3521,Aciphylla inermis,Umbelliferae,Aciphylla,inermis,Indigenous Endemic,Vascular,Unclassified,Forb,3521,ACIINE,Aciphylla inermis,
