NVSCode,burned
MELALP,CONGENER
COPARE,CONGENER
OLEAVI,CONGENER
MUEAXI,CONGENER
PSEAXI,CONGENER
SALCIN,CONGENER
METCOL,CONGENER
MUECOM,CONGENER
METDIF,CONGENER
DICFIB,CONGENER
COPGRA,CONGENER
GRILUC,CONGENER
METPER,CONGENER
FUCPER,CONGENER
COPXCU,CONGENER
COPRHA,CONGENER
COPRIG,CONGENER
METROB,CONGENER
COPROT,CONGENER
RUBSCH,CONGENER
HOHSEX,CONGENER
MELSIM,CONGENER
CYASMI,CONGENER
COPSPA,CONGENER
RUBSQU,CONGENER
COPVIR,CONGENER
LIGUST,CONGENER
RUBUS,CONGENER
FREBAN,FALSE
PARCAP,FALSE
BUDDAV,FALSE
ELADEN,FALSE
SCHDIG,FALSE
URTFER,FALSE
CLEFOE,FALSE
SCAGEN,FALSE
PARHET,FALSE
STRHET,FALSE
ELAHOO,FALSE
ILEMIC,FALSE
SAMNIG,FALSE
CLEPAN,FALSE
RHOSAP,FALSE
RHASOL,FALSE
PASTET,FALSE
CALTUG,FALSE
CLEVIT,FALSE
CLEMAT,FALSE
COPSMA,FALSE
HOHANG,TRUE
CORARB,TRUE
COPARB,TRUE
HEDARB,TRUE
PSEARB,TRUE
MYRAUS,TRUE
MUEAUS,TRUE
CORAUS,TRUE
CARAUS,TRUE
AGAAUS,TRUE
RUBCIS,TRUE
PENCOR,TRUE
PSECRA,TRUE
DACDAC,TRUE
CYADEA,TRUE
PITEUG,TRUE
KNIEXC,TRUE
PIPEXC,TRUE
ALEEXC,TRUE
FUCEXC,TRUE
LEUFAS,TRUE
LEYFOR,TRUE
SALFRA,TRUE
RUBFRU,TRUE
METFUL,TRUE
MYOLAE,TRUE
CORLAE,TRUE
NESLAN,TRUE
GENLIG,TRUE
GRILIT,TRUE
VITLUC,TRUE
CYAMED,TRUE
SOPMIC,TRUE
PHYOCT,TRUE
OLEPAN,TRUE
COPPRO,TRUE
WEIRAC,TRUE
PINRAD,TRUE
MELRAM,TRUE
BRAREP,TRUE
COPROB,TRUE
KUNROB,TRUE
ROSRUB,TRUE
VERSAL,TRUE
RIPSCA,TRUE
LEPSCO,TRUE
ARISER,TRUE
CARSER,TRUE
DYSSPE,TRUE
DICSQU,TRUE
BEITAR,TRUE
BEITAW,TRUE
PRUTAX,TRUE
PITTEN,TRUE
PODTOT,TRUE
DISTOU,TRUE
PHYTRI,TRUE
DODVIS,TRUE
PRUNUS,TRUE
