Farm,PlotNo,SpeciesName,variable,value
GFC,P382,PSEarb,CoverClass.25m,NA
GFC,P382,PITten,CoverClass.25m,NA
GFC,P382,MELram,CoverClass.25m,NA
GFC,P382,CALtug,CoverClass.25m,NA
GFC,P382,MYRaus,CoverClass.25m,NA
GFC,P382,ARIser,CoverClass.25m,NA
GFC,P382,SAMnig,CoverClass.25m,NA
GFC,P382,PIPexc,CoverClass.25m,NA
GFC,P382,FUCexc,CoverClass.25m,NA
GFC,P382,CLEfoe,CoverClass.25m,NA
GFC,P382,COPpro,CoverClass.25m,NA
GFC,P382,MUEaus,CoverClass.25m,NA
GFC,P382,PARhet,CoverClass.25m,NA
GFC,P382,PENcor,CoverClass.25m,NA
GFC,P418,ARIser,CoverClass.25m,NA
GFC,P418,CORarb,CoverClass.25m,NA
GFC,P418,SAMnig,CoverClass.25m,NA
GFC,P418,PSEarb,CoverClass.25m,NA
GFC,P418,PARhet,CoverClass.25m,NA
GFC,P418,GRIlit,CoverClass.25m,NA
GFC,P418,MELram,CoverClass.25m,NA
GFC,P418,CALtug,CoverClass.25m,NA
GFC,P418,COProb,CoverClass.25m,NA
GFC,P418,PENcor,CoverClass.25m,NA
GFC,P418,FUCper,CoverClass.25m,NA
GFC,P347,PITten,CoverClass.25m,NA
GFC,P347,LEPsco,CoverClass.25m,NA
GFC,P347,PSEarb,CoverClass.25m,NA
GFC,P347,MYOlae,CoverClass.25m,NA
GFC,P347,OLEpan,CoverClass.25m,NA
GFC,P347,MYRaus,CoverClass.25m,NA
GFC,P347,MELram,CoverClass.25m,NA
GFC,P347,CARaus,CoverClass.25m,NA
GFC,P347,COProb,CoverClass.25m,NA
GFC,P347,COPpro,CoverClass.25m,NA
GFC,P347,PINrad,CoverClass.25m,NA
GFC,P347,PRUNUS,CoverClass.25m,NA
GFC,P346,PSEarb,CoverClass.25m,NA
GFC,P346,DODvis,CoverClass.25m,NA
GFC,P346,MELram,CoverClass.25m,NA
GFC,P346,CORarb,CoverClass.25m,NA
GFC,P346,PITten,CoverClass.25m,NA
GFC,P346,MYRaus,CoverClass.25m,NA
GFC,P346,OLEpan,CoverClass.25m,NA
GFC,P346,COProb,CoverClass.25m,NA
GFC,P346,COPpro,CoverClass.25m,NA
GFC,P346,LEPsco,CoverClass.25m,NA
GFC,P346,PIPexc,CoverClass.25m,NA
GFC,P346,COTcoc,CoverClass.25m,NA
GFC,P346,CORaus,CoverClass.25m,NA
GFC,P346,PENcor,CoverClass.25m,NA
GFC,P346,RUBsqu,CoverClass.25m,NA
GFC,P346,PSEcra,CoverClass.25m,NA
GFC,P273,OLEpan,CoverClass.25m,NA
GFC,P273,MELram,CoverClass.25m,NA
GFC,P273,PSEarb,CoverClass.25m,NA
GFC,P273,LEPsco,CoverClass.25m,NA
GFC,P273,PARhet,CoverClass.25m,NA
