PlotID,PlotNo,FarmName,Long,Lat,VegClass,Date,DD,MM,YYYY
GFC P105,P105,GFC,172.8886664,-43.09419023,F_N_Reg_Diff,29/11/2018,29,11,2018
GFC P107,P107,GFC,172.8911239,-43.0941926,F_N_Reg_Contin,29/11/2018,29,11,2018
GFC P108,P108,GFC,172.8923526,-43.09419376,F_N_Reg_Contin,12/03/2018,12,3,2018
GFC P109,P109,GFC,172.8935814,-43.09419491,F_N_Reg_Diff,12/03/2018,12,3,2018
GFC P138,P138,GFC,172.888668,-43.09328974,S_N_Reg_Diff,30/11/2018,30,11,2018
GFC P145,P145,GFC,172.897269,-43.093298,F_N_Reg_Sparse,12/05/2018,12,5,2018
GFC P146,P146,GFC,172.8984978,-43.09329888,S_N_Reg_Sparse,12/05/2018,12,5,2018
GFC P172,P172,GFC,172.887536,-43.092729,F_N_Reg_Diff,23/11/2018,23,11,2018
GFC P173,P173,GFC,172.8886697,-43.09238925,F_N_Reg_Contin,30/11/2018,30,11,2018
GFC P273,P273,GFC,172.8813026,-43.08968036,S_N_Reg_Sparse,22/11/2018,22,11,2018
GFC P282,P282,GFC,172.894818,-43.089694,S_N_Reg_Sparse,11/01/2019,11,1,2019
GFC P310,P310,GFC,172.8849903,-43.08878363,F_N_Reg_Contin,22/11/2018,22,11,2018
GFC P346,P346,GFC,172.8825347,-43.08788064,F_N_Reg_Contin,21/11/2018,21,11,2018
GFC P347,P347,GFC,172.8837633,-43.08788189,F_N_Reg_Contin,21/11/2018,21,11,2018
GFC P348,P348,GFC,172.884992,-43.08788313,F_N_Reg_Contin,22/11/2018,22,11,2018
GFC P349,P349,GFC,172.8862206,-43.08788436,F_N_Reg_Contin,26/11/2018,26,11,2018
GFC P357,P357,GFC,172.8960495,-43.08789371,S_N_Reg_Sparse,18/12/2018,18,12,2018
GFC P382,P382,GFC,172.8825364,-43.08698015,F_N_Reg_Contin,20/11/2018,20,11,2018
GFC P383,P383,GFC,172.883765,-43.0869814,F_N_Reg_Contin,26/11/2018,26,11,2018
GFC P418,P418,GFC,172.8825382,-43.08607965,F_N_Reg_Contin,20/11/2018,20,11,2018
GFC P428,P428,GFC,172.894824,-43.0860916,S_N_Reg_Diff,18/12/2018,18,12,2018
GFC P462,P462,GFC,172.8960541,-43.08519223,S_N_Reg_Diff,18/12/2018,18,12,2018
GFC P655,P655,GFC,172.8936141,-43.07528453,F_N_Reg_Sparse,18/12/2018,18,12,2018
GFC P675,P675,GFC,172.8936172,-43.07348354,S_N_Reg_Diff,18/12/2018,18,12,2018
GFC P704,P704,GFC,172.8899387,-43.06987807,S_N_Reg_Sparse,17/12/2018,17,12,2018
GFC P705,P705,GFC,172.8911669,-43.06987924,S_N_Reg_Sparse,17/12/2018,17,12,2018
GFC P716,P716,GFC,172.8911685,-43.06897875,F_N_Reg_Contin,17/12/2018,17,12,2018
GFC P749,P749,GFC,172.8887169,-43.0662749,S_N_Reg_Sparse,12/04/2018,12,4,2018
GFC P75,P75,GFC,172.8886648,-43.09509072,F_N_Reg_Diff,29/11/2018,29,11,2018
GFC P751,P751,GFC,172.8911733,-43.06627726,S_N_Reg_Sparse,12/04/2018,12,4,2018
GFC P759,P759,GFC,172.8924031,-43.06537792,S_N_Reg_Sparse,12/04/2018,12,4,2018
GFC P79,P79,GFC,172.8935798,-43.0950954,F_N_Reg_Diff,12/03/2018,12,3,2018
KAI 269,269,KAI,174.461122,-36.397554,F_N_Reg_Contin,25/06/2018,25,6,2018
KAI ALAN 1,ALAN 1,KAI,174.460104,-36.396148,F_N_Reg_Contin,4/07/2018,4,7,2018
KAI ALAN 10,ALAN 10,KAI,174.458883,-36.394783,F_N_Reg_Contin,6/07/2018,6,7,2018
KAI ALAN 2,ALAN 2,KAI,174.46021,-36.395764,F_N_Reg_Contin,4/07/2018,4,7,2018
