Taxon,Raunkiaer,Esler,Regeneration,Shade,MaxHeight,Spines,Vegetative,Vegetative2,LeafForm,LeafLength,LeafWidth,LeafLongevity,Origin,Native,Woody,Type,LeafArea
Agathis australis,Phanerophyte,"Woody species, Large trees (> 10m)",Community disturbance,Moderate,60,No,None,None,Broad leaved,80,8,Evergreen,NZ,Native,Woody,Tree,502.6548246
Aristotelia serrata,Phanerophyte,"Woody species, Medium trees (6-10m)",Canopy gap,Moderate,10,No,None,None,Broad leaved,120,60,Evergreen,NZ,Native,Woody,Tree,5654.866776
Beilschmiedia tarairi,Phanerophyte,"Woody species, Large trees (> 10m)",Death of individual,Moderate,20,No,None,None,Broad leaved,107,45,Evergreen,NZ,Native,Woody,Tree,3781.692157
Beilschmiedia tawa,Phanerophyte,"Woody species, Large trees (> 10m)",Canopy gap,High,24,No,None,None,Broad leaved,85,15,Evergreen,NZ,Native,Woody,Tree,1001.382658
Brachyglottis repanda,Phanerophyte,"Woody species, Small trees (3-6m)",Community disturbance,Low,6,No,None,None,Broad leaved,250,125,Evergreen,NZ,Native,Woody,Tree,24543.69261
Buddleja davidii,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)",Community disturbance,Low,4,No,None,None,Broad leaved,140,55,Deciduous,Asia,Exotic,Woody,Tree,6047.565858
Calystegia tuguriorum,Phanerophyte,"Vines, Stem climbers",Community disturbance,Low,5,No,Rhizomes-corms,None,Broad leaved,60,25,Evergreen,NZ,Native,Herbaceous,Vine,1178.097245
Carex coriacea,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge",Community disturbance,Low,1.2,No,Rhizomes-corms,None,Grass leaved - Flat,200,7,Evergreen,NZ,Native,Herbaceous,Grass,1099.557429
Carmichaelia australis,Phanerophyte,"Woody species, Medium trees (6-10m)",Community disturbance,Low,10,No,None,None,Phyllodes,22,15,Evergreen,NZ,Native,Woody,Tree,259.1813939
Carpodetus serratus,Phanerophyte,"Woody species, Medium trees (6-10m)",Canopy gap,Moderate,10,No,None,None,Broad leaved,50,25,Evergreen,NZ,Native,Woody,Tree,981.7477042
Clematis foetida,Phanerophyte,"Vines, Stem climbers",Community disturbance,Low,6,No,None,None,Broad leaved,70,60,Evergreen,NZ,Native,Woody,Vine,3298.672286
Clematis paniculata,Phanerophyte,"Vines, Stem climbers",Canopy gap,Low,9,No,None,None,Broad leaved,130,120,Evergreen,NZ,Native,Woody,Vine,12252.21135
Clematis vitalba,Phanerophyte,"Vines, Tendril climbers",Canopy gap,Moderate,30,No,None,None,Broad leaved,220,120,Deciduous,Europe,Exotic,Woody,Vine,20734.51151
